tokenId,Body,Background,Outwear,Headwear,Eyewear,Mood,Eyes,Tail,Crypto
1,Tamed Blue,Purple,Jean Jacket,Lincoln,Half Moon Spectacles,Naughty,Side Eye Blue,Short Tail Blue,TRON
2,Tamed Red,Pink,Bomber Jacket,Skully,Monocle,Happy,Smug Green,Long Tail Red,TRON
3,Tamed Orange,Blue,Hoodie Down,Captain Cap,Monocle,Neutral,Smug Blue,Short Tail Orange,TRON
4,Hunter Blue,Green,Empty,Moon Hat,Jobs Glasses,Neutral,Smug Green,Short Tail Blue,TRON
5,Hunter Brown,Blue,Hoodie Down,Cowboy Hat,Eyepatch,Sad,Open Blue,Short Tail Brown,TRON
6,Exotic Brown,Gray,Empty,Rubber Duck,Half Moon Spectacles,Happy,Open White,Short Tail Brown,TRON
7,Hunter White,Blue,Punk Jacket,Chromie,Jobs Glasses,Happy,Smug Black,Short Tail White,TRON
8,Exotic Gray,Green,Empty,Fire,Aviator,Happy,Side Eye Pink,Long Tail Gray,TRON
9,Ruby Skeleton Hunter,Ruby Red,Empty,Forest Ranger,Empty,Empty,Empty,Empty,TRON
10,Hunter Gray,Purple,Diamond Necklace,Skully,Black Rimmed Glasses,Sad,Bored Gray,Long Tail Gray,TRON
11,Hunter Brown,Gray,Hoodie,Empty,Empty,Neutral,Smug Blue,Long Tail Brown,TRON
12,Exotic Orange,Purple,Bomber Jacket,Tiny Crown,Half Moon Spectacles,Neutral,Bored Pink,Short Tail Orange,TRON
13,Hunter Blue,Gray,Hoodie,Empty,Empty,Sad,Bored Red,Long Tail Blue,TRON
14,Tamed Pink,Pink,Gold Chain,Moon Hat,Gazelles,Proud,Discerning Black,Long Tail Pink,TRON
15,Tamed Brown,Gray,Jean Jacket,Queen Crown,Eyepatch,Happy,Open Gray,Short Tail Brown,TRON
16,Exotic Red,Purple,Diamond Necklace,Flower,Sunglasses,Sad,Smug Pink,Long Tail Red,TRON
17,Exotic Brown,Purple,Empty,Fire,Aviator,Sad,Discerning Blue,Short Tail Brown,TRON
18,Exotic Orange,Green,Empty,Headphones,Empty,Proud,Discerning Black,Long Tail Orange,TRON
19,Exotic Black,Pink,Empty,Moon Hat,Aviator,Happy,Smug Pink,Long Tail Black,TRON
